#timestamp x y z q_x q_y q_z q_w
1776995384.180587769 0.715683460 14.401601791 0.948329449 0.051128311 0.011635457 -0.655485112 0.753385545
1776995385.189208984 0.878953457 13.300947189 0.857478440 0.048429925 0.010297304 -0.650827440 0.757609498
1776995386.197800398 1.006192923 12.177433968 0.761869311 0.046913904 0.013108099 -0.665006886 0.745247010
1776995387.206396580 1.121346951 11.070121765 0.680980921 0.047809903 0.010214525 -0.662259481 0.747677910
1776995388.215029716 1.275421023 9.946765900 0.586788714 0.044112256 0.012107103 -0.648342721 0.759973186
1776995389.223594904 1.442817569 8.828936577 0.503753304 0.043233382 0.010553958 -0.645991186 0.762046505
1776995390.232192278 1.614977956 7.695551395 0.431282699 0.042032841 0.008788332 -0.643219316 0.764476891
1776995391.240786076 1.790462017 6.569460392 0.374332935 0.038578996 0.005544665 -0.651172831 0.757928006
1776995392.249398232 1.878330350 5.517034054 0.302480429 0.034291414 0.003394488 -0.722338024 0.690681081
1776995392.652825832 1.806168199 5.144712448 0.288428992 0.034180646 0.008115566 -0.792545106 0.608800523
1776995393.056258202 1.721283317 4.822653770 0.278820962 0.033494251 0.016424541 -0.858212849 0.511936593
1776995393.459701061 1.515846610 4.502649784 0.267020881 0.029842876 0.018248155 -0.905124106 0.423705984
1776995394.468322754 0.772852838 3.744549990 0.218818694 0.022250804 0.015023519 -0.918376529 0.394795830
1776995395.275174141 0.216973722 3.078960657 0.139770687 0.024768974 0.009864717 -0.869074363 0.493962486
1776995395.880361080 -0.052884076 2.573205948 0.095692687 0.024726088 0.004585449 -0.802606280 0.595978820
1776995396.485504866 -0.141322628 2.052422285 0.077931926 0.024117261 0.000776776 -0.717451156 0.696190773
1776995397.695820808 -0.066466235 1.054085374 0.051611863 0.026003118 0.004401282 -0.658996223 0.751683740
1776995399.107846260 0.056417529 -0.048705820 0.024282545 0.021907379 -0.000322297 -0.669231487 0.742730893
